,ACC,ACP,AVAILABLE,BIAS,BMAX,BMIN,BRB,BREP,BRM1,BRM2,DR,ENABLED,FORE,FROM FILE,ID,IMAX,IMIN,KMPOST,LINE,MODE,MREP,MULT,NFD,NOTE,NREP,OFF,OMAX,OMIN,OPENPATH,OREP,OUTOFRANGE,RANGE,RAW.UNITS,RB,RDR,REP,RULE,SCALING,SDB,SP,TAGS,TAVE,TEB,TOUT,VAL,XACC,XBRB,XBREP,XCOORD,XMREP,XNREP,XOREP,XRB,XRDR,XREP,YCOORD
,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PERCENT,PERCENT/MIN,PERCENT,n/a,PERCENT,PERCENT,PERCENT,PERCENT/MIN,PERCENT/MIN,PERCENT,n/a
BELPL+06-4-A0-MLV,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,3,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BELPL BV,,,1,,,,,9966,,,,,,,1660
BELPL+06-4-A0-PMLD,,,0,,15000,-99,,10000,,,MON_BELPL_06_4_A0_PMLD:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,19,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BELPL PRS,,,1,,,,,10228,,,,,,,1464
BELPL+06-4-A0-PMLS,,,0,,15000,-99,,10000,,,MON_BELPL_06_4_A0_PMLS:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,35,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BELPL PRS,,,1,,,,,10238,,,,,,,1662
BELPL+06-4-A0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,51,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BELPL TMP,,,1,,,,,10227,,,,,,,1412
BELPL+06-4-A0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,66,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BELPL TMP,,,1,,,,,10237,,,,,,,1615
BELPL+33-1-A0-MLV,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,81,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BELPL BV,,,1,,,,,10270,,,,,,,937
BELPL+33-1-A0-PMLD,,,0,,15000,-99,,10000,,,MON_BELPL_33_1_A0_PMLD:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,97,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BELPL PRS,,,1,,,,,10467,,,,,,,800
BELPL+33-1-A0-PMLS,,,0,,15000,-99,,10000,,,MON_BELPL_33_1_A0_PMLS:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,113,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BELPL PRS,,,1,,,,,10067,,,,,,,800
BELPL+33-1-A0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,129,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BELPL TMP,,,1,,,,,10467,,,,,,,755
BELPL+33-1-A0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,161,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BELPL TMP,,,1,,,,,10065,,,,,,,751
BELPL-A0-CVPOS,,,0,,100,0,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,100,0,0,176,ON,,,3,,5000,,100,0,0,,0,,,,,0.001,LINEAR,DISABLED,,0.08333,BELPL,,,1,,,,,9978,,,,,,,2644
BELPL-A0-DEN,,,0,,980,600,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,1000,500,0,208,ON,,,3,,5000,,1000,500,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BELPL DENS,,,1,,,,,9970,,,,,,,2720
BELPL-A0-DRA-FLOW,,,0,,500,0,,10000,,,TAKE_BELPL_DRA:SNQ,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,500,0,0,239,ON,,,3,,5000,,500,0,0,,0,,,,,1e-06,LINEAR,DISABLED,,0.08333,BELPL DRA FLW,,,1,0,,,,10358,,,,,,,2159
BELPL-A0-DRA-MOV,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,223,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BELPL DRA BV,,,1,,,,,10218,,,,,,,2209
BELPL-A0-DRA-Q,,,0,,6625,-4999,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,6625,-4999,0,256,ON,,,3,,5000,,6625,-4999,0,,0,,,,,1e-06,LINEAR,DISABLED,,0.08333,BELPL DRA FLW,,,1,,,,,10214,,,,,,,2108
BELPL-A0-MOVBP,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,271,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BELPL BV,,,1,,,,,9869,,,,,,,2283
BELPL-A0-MOVD,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,287,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BELPL BV,,,1,,,,,9869,,,,,,,2382
BELPL-A0-MOVS,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,303,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BELPL BV,,,1,,,,,9869,,,,,,,2333
BELPL-A0-PD,,,0,,15000,-99,,10000,,,MON_BELPL_A0_PD:SP,1,,INPREP_INC\KSTA\LDS\BELPL.INC,,15000,-99,0,25,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BELPL PRS,,,1,,,,,10168,,,,,,,2572
BELPL-A0-PMLD,,,0,,15000,-99,,10000,,,MON_BELPL_A0_PMLD:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,319,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BELPL PRS,,,1,,,,,9978,,,,,,,2121
BELPL-A0-PMLS,,,0,,15000,-99,,10000,,,MON_BELPL_A0_PMLS:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,367,ON,,,3,,5000,,15000,-99,0,,0,,,,,120,LINEAR,DISABLED,,0.08333,BELPL PRS,,,1,,,,,9762,,,,,,,2131
BELPL-A0-PS,,,0,,15000,-99,,10000,,,MON_BELPL_A0_PS:SP,1,,INPREP_INC\KSTA\LDS\BELPL.INC,,15000,-99,0,41,ON,,,3,,5000,,15000,-99,0,,0,,,,,120,LINEAR,DISABLED,,0.08333,BELPL PRS,,,1,,,,,9745,,,,,,,2552
BELPL-A0-Q,,,0,,6625,-4999,,10000,,,,1,,INPREP_INC\KSTA\LDS\BELPL.INC,,6625,-4999,0,57,ON,,,3,,5000,,6625,-4999,0,,0,,,,,(BELPL-A0-Q:RAW < 2 ? 0.2 : 20),LINEAR,ENABLED,,0.08333,BELPL FLW,,,1,,,,,9969,,,,,,,2554
BELPL-A0-TD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,591,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BELPL TMP,,,1,,,,,10165,,,,,,,2527
BELPL-A0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,606,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BELPL TMP,,,1,,,,,9979,,,,,,,2073
BELPL-A0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,621,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BELPL TMP,,,1,,,,,9760,,,,,,,2080
BELPL-A0-TS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,636,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BELPL TMP,,,1,,,,,9744,,,,,,,2504
BELPL-FLOW,,,0,,6625,-4999,,10000,,,HF_BELPL:SQ,1,,INPREP_INC\KSTA\LDS\BELPL.INC,,6625,-4999,0,73,ON,,,3,,5000,,6625,-100,0,,0,,,,,0,LINEAR,DISABLED,,0.08333,BELPL FLW,,,1,0,,,,9859,,,,,,,2554
BNDLO+20-5-A0-MLV,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,651,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BNDLO BV,,,1,,,,,4581,,,,,,,1657
BNDLO+20-5-A0-PMLD,,,0,,15000,-99,,10000,,,MON_BNDLO_20_5_A0_PMLD:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,667,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BNDLO PRS,,,1,,,,,4281,,,,,,,1549
BNDLO+20-5-A0-PMLS,,,0,,15000,-99,,10000,,,MON_BNDLO_20_5_A0_PMLS:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,683,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BNDLO PRS,,,1,,,,,4256,,,,,,,1823
BNDLO+20-5-A0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,699,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BNDLO TMP,,,1,,,,,4280,,,,,,,1494
BNDLO+20-5-A0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,714,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BNDLO TMP,,,1,,,,,4256,,,,,,,1773
BNDLO-A0-CVPOS,,,0,,100,0,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,100,0,0,729,ON,,,3,,5000,,100,0,0,,0,,,,,0.001,LINEAR,DISABLED,,0.08333,BNDLO,,,1,,,,,4380,,,,,,,2640
BNDLO-A0-DEN,,,0,,980,600,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,1000,500,0,744,ON,,,3,,5000,,1000,500,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BNDLO DENS,,,1,,,,,4370,,,,,,,2720
BNDLO-A0-DRA-FLOW,,,0,,500,0,,10000,,,TAKE_BNDLO_DRA:SNQ,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,500,0,0,775,ON,,,3,,5000,,500,0,0,,0,,,,,1e-06,LINEAR,DISABLED,,0.08333,BNDLO DRA FLW,,,1,0,,,,4752,,,,,,,2142
BNDLO-A0-DRA-MOV,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,759,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BNDLO DRA BV,,,1,,,,,4608,,,,,,,2198
BNDLO-A0-DRA-Q,,,0,,6625,-4999,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,6625,-4999,0,792,ON,,,3,,5000,,6625,-4999,0,,0,,,,,1e-06,LINEAR,DISABLED,,0.08333,BNDLO DRA FLW,,,1,,,,,4608,,,,,,,2087
BNDLO-A0-MOVBP,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,807,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BNDLO BV,,,1,,,,,4281,,,,,,,2319
BNDLO-A0-MOVD,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,823,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BNDLO BV,,,1,,,,,4281,,,,,,,2418
BNDLO-A0-MOVS,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,839,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BNDLO BV,,,1,,,,,4281,,,,,,,2370
BNDLO-A0-PD,,,0,,15000,-99,,10000,,,MON_BNDLO_A0_PD:SP,1,,INPREP_INC\KSTA\LDS\BNDLO.INC,,15000,-99,0,22,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BNDLO PRS,,,1,,,,,4556,,,,,,,2576
BNDLO-A0-PMLD,,,0,,15000,-99,,10000,,,MON_BNDLO_A0_PMLD:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,855,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BNDLO PRS,,,1,,,,,4366,,,,,,,2141
BNDLO-A0-PMLS,,,0,,15000,-99,,10000,,,MON_BNDLO_A0_PMLS:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,871,ON,,,3,,5000,,15000,-99,0,,0,,,,,120,LINEAR,DISABLED,,0.08333,BNDLO PRS,,,1,,,,,4168,,,,,,,2138
BNDLO-A0-PS,,,0,,15000,-99,,10000,,,MON_BNDLO_A0_PS:SP,1,,INPREP_INC\KSTA\LDS\BNDLO.INC,,15000,-99,0,38,ON,,,3,,5000,,15000,-99,0,,0,,,,,120,LINEAR,DISABLED,,0.08333,BNDLO PRS,,,1,,,,,4148,,,,,,,2563
BNDLO-A0-Q,,,0,,6625,-4999,,10000,,,,1,,INPREP_INC\KSTA\LDS\BNDLO.INC,,6625,-4999,0,54,ON,,,3,,5000,,6625,-4999,0,,0,,,,,(BNDLO-A0-Q:RAW < 2 ? 0.2 : 20),LINEAR,ENABLED,,0.08333,BNDLO FLW,,,1,,,,,4381,,,,,,,2563
BNDLO-A0-TD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,887,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BNDLO TMP,,,1,,,,,4554,,,,,,,2529
BNDLO-A0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,902,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BNDLO TMP,,,1,,,,,4365,,,,,,,2092
BNDLO-A0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,917,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BNDLO TMP,,,1,,,,,4167,,,,,,,2091
BNDLO-A0-TS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,932,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BNDLO TMP,,,1,,,,,4148,,,,,,,2517
BNDLO-FLOW,,,0,,6625,-4999,,10000,,,HF_BNDLO:SQ,1,,INPREP_INC\KSTA\LDS\BNDLO.INC,,6625,-4999,0,70,ON,,,3,,5000,,6625,-100,0,,0,,,,,0,LINEAR,DISABLED,,0.08333,BNDLO FLW,,,1,0,,,,4271,,,,,,,2563
BRSTL+31-2-A0-MLV,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,947,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BRSTL BV,,,1,,,,,4768,,,,,,,1753
BRSTL+31-2-A0-PMLD,,,0,,15000,-99,,10000,,,MON_BRSTL_31_2_A0_PMLD:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,963,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BRSTL PRS,,,1,,,,,5032,,,,,,,1772
BRSTL+31-2-A0-PMLS,,,0,,15000,-99,,10000,,,MON_BRSTL_31_2_A0_PMLS:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,979,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BRSTL PRS,,,1,,,,,4982,,,,,,,1592
BRSTL+31-2-A0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,995,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BRSTL TMP,,,1,,,,,5032,,,,,,,1729
BRSTL+31-2-A0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,1010,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BRSTL TMP,,,1,,,,,4982,,,,,,,1539
BRSTL-A0-CVPOS,,,0,,100,0,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,100,0,0,1025,ON,,,3,,5000,,100,0,0,,0,,,,,0.001,LINEAR,DISABLED,,0.08333,BRSTL,,,1,,,,,5176,,,,,,,979
BRSTL-A0-LTP-MOVBP,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,1040,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BRSTL BV,,,1,,,,,5170,,,,,,,1116
BRSTL-A0-LTP-MOVKCK,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,1056,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BRSTL BV,,,1,,,,,5179,,,,,,,1227
BRSTL-A0-LTP-MOVOUT,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,1072,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BRSTL BV,,,1,,,,,5175,,,,,,,1171
BRSTL-A0-MOVCVBP,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,1088,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BRSTL BV,,,1,,,,,5174,,,,,,,1048
BRSTL-A0-PD,,,0,,15000,-99,,10000,,,MON_BRSTL_A0_PD:SP,1,,INPREP_INC\KSTA\LDS\BRSTL.INC,,15000,-99,0,22,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BRSTL PRS,,,1,,,,,5000,,,,,,,1162
BRSTL-A0-PMLD,,,0,,15000,-99,,10000,,,MON_BRSTL_A0_PMLD:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,1104,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BRSTL PRS,,,1,,,,,5000,,,,,,,1331
BRSTL-A0-PMLS,,,0,,15000,-99,,10000,,,MON_BRSTL_A0_PMLS:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,1120,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BRSTL PRS,,,1,,,,,4915,,,,,,,777
BRSTL-A0-PS,,,0,,15000,-99,,10000,,,MON_BRSTL_A0_PS:SP,1,,INPREP_INC\KSTA\LDS\BRSTL.INC,,15000,-99,0,38,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BRSTL PRS,,,1,,,,,5000,,,,,,,1021
BRSTL-A0-RTP-MOVBP,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,1136,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BRSTL BV,,,1,,,,,5166,,,,,,,814
BRSTL-A0-RTP-MOVIN,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,1168,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BRSTL BV,,,1,,,,,5171,,,,,,,869
BRSTL-A0-RTP-MOVKCK,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,1152,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BRSTL BV,,,1,,,,,5175,,,,,,,925
BRSTL-A0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,1184,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BRSTL TMP,,,1,,,,,5000,,,,,,,1284
BRSTL-A0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,1199,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BRSTL TMP,,,1,,,,,4912,,,,,,,727
BRSTL-A0-TS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,1214,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BRSTL TMP,,,1,,,,,5000,,,,,,,969
BRSTL-FLOW,,,0,,6625,-4999,,10000,,,HF_BRSTL:SQ,1,,INPREP_INC\KSTA\LDS\BRSTL.INC,,6625,-4999,0,58,ON,,,,,5000,,6625,-100,0,,0,,,,,0,LINEAR,DISABLED,,,BRSTL FLW,,,1,0,,,,4758,,,,,,,1085
BRYAN-01A-B0-MLV,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,4,0.5,0,149,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BRYAN BV,,,1,,,,,37283,,,,,,,5524
BRYAN-01A-B0-PMLD,,,0,,15000,-99,,10000,,,MON_BRYAN_01A_B0_PMLD:SP,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,15000,-99,0,165,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BRYAN PRS,,,1,,,,,37500,,,,,,,5371
BRYAN-01A-B0-PMLS,,,0,,15000,-99,,10000,,,MON_BRYAN_01A_B0_PMLS:SP,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,15000,-99,0,181,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BRYAN PRS,,,1,,,,,37536,,,,,,,5641
BRYAN-01A-B0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,80,-39,0,245,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BRYAN TMP,,,1,,,,,37497,,,,,,,5323
BRYAN-01A-B0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,80,-39,0,260,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BRYAN TMP,,,1,,,,,37538,,,,,,,5588
BRYAN-01B-B0-MLV,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,4,0.5,0,275,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BRYAN BV,,,1,,,,,37494,,,,,,,4908
BRYAN-01B-B0-PMLD,,,0,,15000,-99,,10000,,,MON_BRYAN_01B_B0_PMLD:SP,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,15000,-99,0,291,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BRYAN PRS,,,1,,,,,37498,,,,,,,4741
BRYAN-01B-B0-PMLS,,,0,,15000,-99,,10000,,,MON_BRYAN_01B_B0_PMLS:SP,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,15000,-99,0,307,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BRYAN PRS,,,1,,,,,37510,,,,,,,5052
BRYAN-01B-B0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,80,-39,0,323,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BRYAN TMP,,,1,,,,,37496,,,,,,,4688
BRYAN-01B-B0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,80,-39,0,338,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BRYAN TMP,,,1,,,,,37509,,,,,,,5004
BRYAN-02A-B0-MLV,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,4,0.5,0,367,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,BRYAN BV,,,1,,,,,37581,,,,,,,4105
BRYAN-02A-B0-PMLD,,,0,,15000,-99,,10000,,,MON_BRYAN_02A_B0_PMLD:SP,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,15000,-99,0,399,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BRYAN PRS,,,1,,,,,37996,,,,,,,4108
BRYAN-02A-B0-PMLS,,,0,,15000,-99,,10000,,,MON_BRYAN_02A_B0_PMLS:SP,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,15000,-99,0,431,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,BRYAN PRS,,,1,,,,,37255,,,,,,,4146
BRYAN-02A-B0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTD\KSTD_SCADA.INC,,80,-39,0,463,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,BRYAN TMP,,,1,,,,,37994,,,,,,,4061
