,ACC,ACP,AVAILABLE,BIAS,BMAX,BMIN,BRB,BREP,BRM1,BRM2,DR,ENABLED,FORE,FROM FILE,ID,IMAX,IMIN,KMPOST,LINE,MODE,MREP,MULT,NFD,NOTE,NREP,OFF,OMAX,OMIN,OPENPATH,OREP,OUTOFRANGE,RANGE,RAW.UNITS,RB,RDR,REP,RULE,SCALING,SDB,SP,TAGS,TAVE,TEB,TOUT,VAL,XACC,XBRB,XBREP,XCOORD,XMREP,XNREP,XOREP,XRB,XRDR,XREP,YCOORD
,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PERCENT,PERCENT/MIN,PERCENT,n/a,PERCENT,PERCENT,PERCENT,PERCENT/MIN,PERCENT/MIN,PERCENT,n/a
DVDCT+36-8-A0-PMLD,,,0,,15000,-99,,10000,,,MON_DVDCT_36_8_A0_PMLD:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,3648,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,DVDCT PRS,,,1,,,,,29232,,,,,,,999
DVDCT+36-8-A0-PMLS,,,0,,15000,-99,,10000,,,MON_DVDCT_36_8_A0_PMLS:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,3696,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,DVDCT PRS,,,1,,,,,29103,,,,,,,575
DVDCT+36-8-A0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,3712,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,DVDCT TMP,,,1,,,,,29230,,,,,,,950
DVDCT+36-8-A0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,3757,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,DVDCT TMP,,,1,,,,,29103,,,,,,,528
DVDCT+39-2-A0-MLV,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,3630,OFF,,,3,,5000,1,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,DVDCT BV,,,1,,,,,28918,,,,,,,1254
DVDCT+39-2-A0-PMLD,,,0,,15000,-99,,10000,,,MON_DVDCT_39_2_A0_PMLD:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,3664,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,DVDCT PRS,,,1,,,,,29341,,,,,,,1204
DVDCT+39-2-A0-PMLS,,,0,,15000,-99,,10000,,,MON_DVDCT_39_2_A0_PMLS:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,3680,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,DVDCT PRS,,,1,,,,,28851,,,,,,,1085
DVDCT+39-2-A0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,3727,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,DVDCT TMP,,,1,,,,,29339,,,,,,,1155
DVDCT+39-2-A0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,3742,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,DVDCT TMP,,,1,,,,,28851,,,,,,,1036
DVDCT-A0-CVPOS,,,0,,100,0,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,100,0,0,3772,ON,,,3,,5000,,100,0,0,,0,,,,,0.001,LINEAR,DISABLED,,0.08333,DVDCT,,,1,,,,,28585,,,,,,,2651
DVDCT-A0-DEN,,,0,,980,600,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,1000,500,0,3787,ON,,,3,,5000,,1000,500,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,DVDCT DENS,,,1,,,,,28580,,,,,,,2720
DVDCT-A0-DRA-FLOW,,,0,,500,0,,10000,,,TAKE_DVDCT_DRA:SNQ,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,500,0,0,3818,ON,,,3,,5000,,500,0,0,,0,,,,,1e-06,LINEAR,DISABLED,,0.08333,DVDCT DRA FLW,,,1,0,,,,28946,,,,,,,2149
