,A,B,BFC,COLOR,COMP.UNIT,CONST VP,CV0,CVT,D0,DENERR,FROM FILE,K0,KT,MXWT,Ordering,P0,PD,PM0,PMODERR,PPMULT,PTMULT,S0,SPC,STC,T0,T1,T2,TM0,TTMULT,VERR,VP1,VP2
,n/a,n/a,n/a,n/a,n/a,n/a,KJ/KG-DC,KJ/KG-DC2,KG/M3,KG/M3,n/a,KJ/HR-M-DC,KJ/HR-M-DC2,n/a,n/a,KPAA,KPA,KPA,n/a,n/a,n/a,PA,PA/KPA,PA/DC,DC,DC,DC,DC,n/a,n/a,KPAA,KPAA
MKH1,9.89452,3.76165,,BLACK,FR,No,1.51344,0.00428,942,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,120,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
MKH2,9.88871,3.75927,,BLACK,FR,No,1.51344,0.00428,942,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,121,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
MKH3,9.88219,3.75661,,BLACK,FR,No,1.51344,0.00428,942,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,122,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
MKH5,9.89216,3.76068,,BLACK,FR,No,1.51344,0.00428,942,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,123,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
MKH6,9.88594,3.75814,,BLACK,FR,No,1.51344,0.00428,942,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,124,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
MLC,13.9815,5.43371,,CYAN,FR,No,1.51344,0.00428,854,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,125,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
MSB,10.7377,4.10659,,CYAN,FR,No,1.51344,0.00428,860,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,126,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
MSM,12.5235,4.8372,,BLUE,FR,No,1.51344,0.00428,877,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,127,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
NBR,10.5875,4.04516,,CYAN,FR,No,1.51344,0.00428,842,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,128,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
OSA,11.1064,4.25746,,LIGHTGREEN,FR,No,1.51344,0.00428,860,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,129,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
OSH,10.6762,4.08147,,BLACK,FR,No,1.51344,0.00428,936,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,130,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
OSY,10.1429,3.86328,,PURPLE,FR,No,1.51344,0.00428,936,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,131,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PAS,9.76535,3.7088,,LIGHTGREEN,FR,No,1.51344,0.00428,858,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,132,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PCH,8.7238,3.28268,,PURPLE,FR,No,1.51344,0.00428,921,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,133,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PDH1,9.28086,3.51059,,BLACK,FR,No,1.51344,0.00428,926,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,134,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PDH2,9.27104,3.50657,,BLACK,FR,No,1.51344,0.00428,926,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,135,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PDH3,9.27641,3.50877,,BLACK,FR,No,1.51344,0.00428,926,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,136,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PDH5,9.26804,3.50534,,BLACK,FR,No,1.51344,0.00428,926,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,137,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PDH6,9.27891,3.50979,,BLACK,FR,No,1.51344,0.00428,926,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,138,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PH1,9.38803,3.55444,,BLACK,FR,No,1.51344,0.00428,926,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,139,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PH2,9.40905,3.56303,,BLACK,FR,No,1.51344,0.00428,930,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,140,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PH3,9.39481,3.55721,,BLACK,FR,No,1.51344,0.00428,934,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,141,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PH5,9.41891,3.56707,,BLACK,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,142,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PH6,9.38997,3.55523,,BLACK,FR,No,1.51344,0.00428,932,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,143,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PSH1,9.53374,3.61405,,BLACK,FR,No,1.51344,0.00428,932,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,144,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PSH2,9.55439,3.6225,,BLACK,FR,No,1.51344,0.00428,932,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,145,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PSH3,9.55722,3.62365,,BLACK,FR,No,1.51344,0.00428,932,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,146,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PSH5,9.5586,3.62422,,BLACK,FR,No,1.51344,0.00428,932,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,147,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PSH6,9.54585,3.619,,BLACK,FR,No,1.51344,0.00428,932,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,148,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PXB1,9.56348,3.62621,,BLACK,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,149,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PXB2,9.57615,3.6314,,BLACK,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,150,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PXB3,9.55577,3.62306,,BLACK,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,151,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
