,Opening Time,Valve Coef (dimensionless)
,MIN,n/a
BALL_NPS24_PS_CAN_6MIN_FLANGED_OPEN,5.537,14200
BALL_NPS24_PS_CAN_6MIN_FLANGED_OPEN,5.653,20000
BALL_NPS24_PS_CAN_6MIN_FLANGED_OPEN,6,98600
BALL_NPS24_PS_CAN_6MIN_OPEN,0,0
BALL_NPS24_PS_CAN_6MIN_OPEN,0.96,325
BALL_NPS24_PS_CAN_6MIN_OPEN,4.222,520
BALL_NPS24_PS_CAN_6MIN_OPEN,4.38,650
BALL_NPS24_PS_CAN_6MIN_OPEN,4.495,1000
BALL_NPS24_PS_CAN_6MIN_OPEN,4.611,1500
BALL_NPS24_PS_CAN_6MIN_OPEN,4.727,2000
BALL_NPS24_PS_CAN_6MIN_OPEN,4.843,2750
BALL_NPS24_PS_CAN_6MIN_OPEN,4.958,3500
BALL_NPS24_PS_CAN_6MIN_OPEN,5.074,4750
BALL_NPS24_PS_CAN_6MIN_OPEN,5.19,6000
BALL_NPS24_PS_CAN_6MIN_OPEN,5.306,8000
BALL_NPS24_PS_CAN_6MIN_OPEN,5.421,10800
BALL_NPS24_PS_CAN_6MIN_OPEN,5.537,14200
BALL_NPS24_PS_CAN_6MIN_OPEN,5.653,20000
BALL_NPS24_PS_CAN_6MIN_OPEN,6,110500
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,0,0
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,6.111,325
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,7.333,520
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,7.38,650
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,7.495,1000
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,7.611,1500
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,7.727,2000
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,7.843,2750
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,7.958,3500
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,8.074,4750
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,8.19,6000
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,8.306,8000
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,8.421,10800
