,Flow,Head
,AM3/HR,M
FTRSM_FORT_RANSOM_PUMP_HEAD,5059.5,240.6
FTRSM_FORT_RANSOM_PUMP_HEAD,8048.9,0
GRNFL_GRENFELL_PUMP_HEAD,0,220.7
GRNFL_GRENFELL_PUMP_HEAD,896.9,229.1
GRNFL_GRENFELL_PUMP_HEAD,1566.1,231.6
GRNFL_GRENFELL_PUMP_HEAD,2714.2,229.4
GRNFL_GRENFELL_PUMP_HEAD,3911.8,206.7
GRNFL_GRENFELL_PUMP_HEAD,4376,193.5
GRNFL_GRENFELL_PUMP_HEAD,4562.7,186.1
GRNFL_GRENFELL_PUMP_HEAD,7253.7,0
HOPEP_HOPE_PUMP_HEAD,0,257.7
HOPEP_HOPE_PUMP_HEAD,1382,271.9
HOPEP_HOPE_PUMP_HEAD,2431,273.3
HOPEP_HOPE_PUMP_HEAD,3938.6,271.6
HOPEP_HOPE_PUMP_HEAD,5285.1,256.7
HOPEP_HOPE_PUMP_HEAD,6624.9,233.4
HOPEP_HOPE_PUMP_HEAD,8099.5,199.9
HOPEP_HOPE_PUMP_HEAD,13276.4,0
HRBRT_HERBERT_PUMP_HEAD,0,223.4
HRBRT_HERBERT_PUMP_HEAD,871.8,232.1
HRBRT_HERBERT_PUMP_HEAD,1507.4,233.2
HRBRT_HERBERT_PUMP_HEAD,2660,231.4
HRBRT_HERBERT_PUMP_HEAD,3793.6,211.7
HRBRT_HERBERT_PUMP_HEAD,4257.9,199.3
HRBRT_HERBERT_PUMP_HEAD,4668.9,187.1
HRBRT_HERBERT_PUMP_HEAD,7683.5,0
HRDSY_HARDISTY_PUMP_HEAD,0,245.3
HRDSY_HARDISTY_PUMP_HEAD,882.6,255.5
HRDSY_HARDISTY_PUMP_HEAD,1525.9,257.6
HRDSY_HARDISTY_PUMP_HEAD,2748.9,257.9
HRDSY_HARDISTY_PUMP_HEAD,3899.8,239.8
HRDSY_HARDISTY_PUMP_HEAD,4381.1,227.9
HRDSY_HARDISTY_PUMP_HEAD,4806.4,216.2
HRDSY_HARDISTY_PUMP_HEAD,8225.4,0
HRTFD_HARTFORD_PUMP_HEAD,0,273.6
HRTFD_HARTFORD_PUMP_HEAD,948.9,292.5
HRTFD_HARTFORD_PUMP_HEAD,1569.5,296.3
HRTFD_HARTFORD_PUMP_HEAD,3226.5,292.6
HRTFD_HARTFORD_PUMP_HEAD,3939.5,276.8
HRTFD_HARTFORD_PUMP_HEAD,4388.7,263.7
HRTFD_HARTFORD_PUMP_HEAD,5074,243.1
HRTFD_HARTFORD_PUMP_HEAD,8918.1,0
HRTGT_HARTINGTON_PUMP_HEAD,0,288.6
HRTGT_HARTINGTON_PUMP_HEAD,846.6,302.8
HRTGT_HARTINGTON_PUMP_HEAD,1576.3,307.1
HRTGT_HARTINGTON_PUMP_HEAD,3231.4,298.8
HRTGT_HARTINGTON_PUMP_HEAD,3922.8,279.7
HRTGT_HARTINGTON_PUMP_HEAD,4372.3,264.4
HRTGT_HARTINGTON_PUMP_HEAD,4994.8,239.7
HRTGT_HARTINGTON_PUMP_HEAD,8002.3,0
HSKTT_HASKETT_PUMP_HEAD,0,280.9
HSKTT_HASKETT_PUMP_HEAD,956.4,296.9
