,Flow,Power
,AM3/HR,KW
HOPEP_HOPE_PUMP_POWER,6624.9,4639.6
HOPEP_HOPE_PUMP_POWER,8099.5,5008.3
HOPEP_HOPE_PUMP_POWER,13276.4,0
HRBRT_HERBERT_PUMP_POWER,0,787.8
HRBRT_HERBERT_PUMP_POWER,871.8,1239.5
HRBRT_HERBERT_PUMP_POWER,1507.4,1473.3
HRBRT_HERBERT_PUMP_POWER,2660,2025
HRBRT_HERBERT_PUMP_POWER,3793.6,2479.7
HRBRT_HERBERT_PUMP_POWER,4257.9,2642.3
HRBRT_HERBERT_PUMP_POWER,4668.9,2771.4
HRDSY_HARDISTY_PUMP_POWER,0,899.4
HRDSY_HARDISTY_PUMP_POWER,882.6,1407.8
HRDSY_HARDISTY_PUMP_POWER,1525.9,1688.1
HRDSY_HARDISTY_PUMP_POWER,2748.9,2339.8
HRDSY_HARDISTY_PUMP_POWER,3899.8,2898.4
HRDSY_HARDISTY_PUMP_POWER,4381.1,3103.7
HRDSY_HARDISTY_PUMP_POWER,4806.4,3258.7
HRTFD_HARTFORD_PUMP_POWER,0,926.3
HRTFD_HARTFORD_PUMP_POWER,948.9,1612.4
HRTFD_HARTFORD_PUMP_POWER,1569.5,1979.7
HRTFD_HARTFORD_PUMP_POWER,3226.5,3007.2
HRTFD_HARTFORD_PUMP_POWER,3939.5,3373
HRTFD_HARTFORD_PUMP_POWER,4388.7,3599.6
HRTFD_HARTFORD_PUMP_POWER,5074,3909.9
HRTGT_HARTINGTON_PUMP_POWER,0,951.2
HRTGT_HARTINGTON_PUMP_POWER,846.6,1581.9
HRTGT_HARTINGTON_PUMP_POWER,1576.3,2002.1
HRTGT_HARTINGTON_PUMP_POWER,3231.4,3063
HRTGT_HARTINGTON_PUMP_POWER,3922.8,3419.5
HRTGT_HARTINGTON_PUMP_POWER,4372.3,3637.6
HRTGT_HARTINGTON_PUMP_POWER,4994.8,3923.7
HSKTT_HASKETT_PUMP_POWER,0,900.9
HSKTT_HASKETT_PUMP_POWER,956.4,1615.1
HSKTT_HASKETT_PUMP_POWER,1603.4,1998.6
HSKTT_HASKETT_PUMP_POWER,3227.2,3039.7
HSKTT_HASKETT_PUMP_POWER,3926.1,3398.4
HSKTT_HASKETT_PUMP_POWER,4390.4,3639.7
HSKTT_HASKETT_PUMP_POWER,4956.6,3895.7
KENDL_KENDAL_PUMP_POWER,0,1080.2
KENDL_KENDAL_PUMP_POWER,34.9,1096.7
KENDL_KENDAL_PUMP_POWER,2240.6,1932.9
KENDL_KENDAL_PUMP_POWER,3354.2,2316.8
KENDL_KENDAL_PUMP_POWER,4056.9,2547.5
KENDL_KENDAL_PUMP_POWER,4401,2655.4
KENDL_KENDAL_PUMP_POWER,4745.4,2723.6
LBNTL_LIEBENTHAL_PUMP_POWER,0,803.5
LBNTL_LIEBENTHAL_PUMP_POWER,985.4,1323.8
LBNTL_LIEBENTHAL_PUMP_POWER,1555.5,1540.6
